utm,lon,lat,east,north
14G,-99,-44,500000.0,-4871872.840767047
14H,-99,-36,500000.0,-3983948.4533356656
14J,-99,-28,500000.0,-3097202.370688265
14K,-99,-20,500000.0,-2211481.307669964
14L,-99,-12,500000.0,-1326553.6358056443
14M,-99,-4,500000.0,-442127.3902531092
14N,-99,4,500000.0,442127.3902531092
14P,-99,12,500000.0,1326553.6358056443
14Q,-99,20,500000.0,2211481.307669964
14R,-99,28,500000.0,3097202.370688265
14S,-99,36,500000.0,3983948.4533356656
14T,-99,44,500000.0,4871872.840767047
14U,-99,52,500000.0,5761038.212590415
14V,-99,60,500000.0,6651411.190362714
14W,-99,68,500000.0,7542864.29720695
14X,-99,76,500000.0,8435185.36883611
15C,-93,-76,499999.99999999965,-8435185.36883611
15D,-93,-68,499999.9999999995,-7542864.29720695
15E,-93,-60,499999.9999999993,-6651411.190362714
15F,-93,-52,499999.9999999991,-5761038.212590415
15G,-93,-44,499999.99999999895,-4871872.840767047
15H,-93,-36,499999.99999999884,-3983948.4533356656
15J,-93,-28,499999.9999999988,-3097202.370688265
15K,-93,-20,499999.99999999866,-2211481.307669964
15L,-93,-12,499999.9999999986,-1326553.6358056443
15M,-93,-4,499999.9999999986,-442127.3902531092
15N,-93,4,499999.9999999986,442127.3902531092
15P,-93,12,499999.9999999986,1326553.6358056443
15Q,-93,20,499999.99999999866,2211481.307669964
15R,-93,28,499999.9999999988,3097202.370688265
15S,-93,36,499999.99999999884,3983948.4533356656
15T,-93,44,499999.99999999895,4871872.840767047
15U,-93,52,499999.9999999991,5761038.212590415
15V,-93,60,499999.9999999993,6651411.190362714
15W,-93,68,499999.9999999995,7542864.29720695
15X,-93,76,499999.99999999965,8435185.36883611
16C,-87,-76,500000.00000000035,-8435185.36883611
16D,-87,-68,500000.0000000005,-7542864.29720695
16E,-87,-60,500000.0000000007,-6651411.190362714
16F,-87,-52,500000.0000000009,-5761038.212590415
16G,-87,-44,500000.00000000105,-4871872.840767047
16H,-87,-36,500000.00000000116,-3983948.4533356656
16J,-87,-28,500000.0000000012,-3097202.370688265
16K,-87,-20,500000.00000000134,-2211481.307669964
16L,-87,-12,500000.0000000014,-1326553.6358056443
16M,-87,-4,500000.0000000014,-442127.3902531092
16N,-87,4,500000.0000000014,442127.3902531092
16P,-87,12,500000.0000000014,1326553.6358056443
16Q,-87,20,500000.00000000134,2211481.307669964
16R,-87,28,500000.0000000012,3097202.370688265
16S,-87,36,500000.00000000116,3983948.4533356656
16T,-87,44,500000.00000000105,4871872.840767047
16U,-87,52,500000.0000000009,5761038.212590415
16V,-87,60,500000.0000000007,6651411.190362714
16W,-87,68,500000.0000000005,7542864.29720695
16X,-87,76,500000.00000000035,8435185.36883611
17C,-81,-76,500000.0,-8435185.36883611
17D,-81,-68,500000.0,-7542864.29720695
17E,-81,-60,500000.0,-6651411.190362714
17F,-81,-52,500000.0,-5761038.212590415
17G,-81,-44,500000.0,-4871872.840767047
17H,-81,-36,500000.0,-3983948.4533356656
17J,-81,-28,500000.0,-3097202.370688265
17K,-81,-20,500000.0,-2211481.307669964
17L,-81,-12,500000.0,-1326553.6358056443
17M,-81,-4,500000.0,-442127.3902531092
17N,-81,4,500000.0,442127.3902531092
17P,-81,12,500000.0,1326553.6358056443
17Q,-81,20,500000.0,2211481.307669964
17R,-81,28,500000.0,3097202.370688265
17S,-81,36,500000.0,3983948.4533356656
17T,-81,44,500000.0,4871872.840767047
17U,-81,52,500000.0,5761038.212590415
17V,-81,60,500000.0,6651411.190362714
17W,-81,68,500000.0,7542864.29720695
17X,-81,76,500000.0,8435185.36883611
18C,-75,-76,500000.0,-8435185.36883611
18D,-75,-68,500000.0,-7542864.29720695
18E,-75,-60,500000.0,-6651411.190362714
18F,-75,-52,500000.0,-5761038.212590415
18G,-75,-44,500000.0,-4871872.840767047
18H,-75,-36,500000.0,-3983948.4533356656
18J,-75,-28,500000.0,-3097202.370688265
18K,-75,-20,500000.0,-2211481.307669964
18L,-75,-12,500000.0,-1326553.6358056443
18M,-75,-4,500000.0,-442127.3902531092
18N,-75,4,500000.0,442127.3902531092
18P,-75,12,500000.0,1326553.6358056443
18Q,-75,20,500000.0,2211481.307669964
18R,-75,28,500000.0,3097202.370688265
18S,-75,36,500000.0,3983948.4533356656
18T,-75,44,500000.0,4871872.840767047
18U,-75,52,500000.0,5761038.212590415
18V,-75,60,500000.0,6651411.190362714
18W,-75,68,500000.0,7542864.29720695
18X,-75,76,500000.0,8435185.36883611
19C,-69,-76,500000.0,-8435185.36883611
19D,-69,-68,500000.0,-7542864.29720695
19E,-69,-60,500000.0,-6651411.190362714
19F,-69,-52,500000.0,-5761038.212590415
19G,-69,-44,500000.0,-4871872.840767047
19H,-69,-36,500000.0,-3983948.4533356656
19J,-69,-28,500000.0,-3097202.370688265
19K,-69,-20,500000.0,-2211481.307669964
19L,-69,-12,500000.0,-1326553.6358056443
19M,-69,-4,500000.0,-442127.3902531092
19N,-69,4,500000.0,442127.3902531092
19P,-69,12,500000.0,1326553.6358056443
19Q,-69,20,500000.0,2211481.307669964
19R,-69,28,500000.0,3097202.370688265
19S,-69,36,500000.0,3983948.4533356656
19T,-69,44,500000.0,4871872.840767047
19U,-69,52,500000.0,5761038.212590415
19V,-69,60,500000.0,6651411.190362714
19W,-69,68,500000.0,7542864.29720695
19X,-69,76,500000.0,8435185.36883611
20C,-63,-76,500000.0,-8435185.36883611
20D,-63,-68,500000.0,-7542864.29720695
20E,-63,-60,500000.0,-6651411.190362714
20F,-63,-52,500000.0,-5761038.212590415
20G,-63,-44,500000.0,-4871872.840767047
20H,-63,-36,500000.0,-3983948.4533356656
20J,-63,-28,500000.0,-3097202.370688265
20K,-63,-20,500000.0,-2211481.307669964
20L,-63,-12,500000.0,-1326553.6358056443
20M,-63,-4,500000.0,-442127.3902531092
20N,-63,4,500000.0,442127.3902531092
20P,-63,12,500000.0,1326553.6358056443
20Q,-63,20,500000.0,2211481.307669964
20R,-63,28,500000.0,3097202.370688265
20S,-63,36,500000.0,3983948.4533356656
20T,-63,44,500000.0,4871872.840767047
20U,-63,52,500000.0,5761038.212590415
20V,-63,60,500000.0,6651411.190362714
20W,-63,68,500000.0,7542864.29720695
20X,-63,76,500000.0,8435185.36883611
21C,-57,-76,500000.00000000035,-8435185.36883611
21D,-57,-68,500000.0000000005,-7542864.29720695
21E,-57,-60,500000.0000000007,-6651411.190362714
21F,-57,-52,500000.0000000009,-5761038.212590415
21G,-57,-44,500000.00000000105,-4871872.840767047
21H,-57,-36,500000.00000000116,-3983948.4533356656
21J,-57,-28,500000.0000000012,-3097202.370688265
21K,-57,-20,500000.00000000134,-2211481.307669964
21L,-57,-12,500000.0000000014,-1326553.6358056443
21M,-57,-4,500000.0000000014,-442127.3902531092
21N,-57,4,500000.0000000014,442127.3902531092
21P,-57,12,500000.0000000014,1326553.6358056443
21Q,-57,20,500000.00000000134,2211481.307669964
21R,-57,28,500000.0000000012,3097202.370688265
21S,-57,36,500000.00000000116,3983948.4533356656
21T,-57,44,500000.00000000105,4871872.840767047
21U,-57,52,500000.0000000009,5761038.212590415
21V,-57,60,500000.0000000007,6651411.190362714
21W,-57,68,500000.0000000005,7542864.29720695
21X,-57,76,500000.00000000035,8435185.36883611
22C,-51,-76,500000.0000000002,-8435185.36883611
22D,-51,-68,500000.0000000003,-7542864.29720695
22E,-51,-60,500000.00000000035,-6651411.190362714
22F,-51,-52,500000.00000000047,-5761038.212590415
22G,-51,-44,500000.0000000005,-4871872.840767047
22H,-51,-36,500000.0000000006,-3983948.4533356656
22J,-51,-28,500000.00000000064,-3097202.370688265
22K,-51,-20,500000.00000000064,-2211481.307669964
22L,-51,-12,500000.0000000007,-1326553.6358056443
22M,-51,-4,500000.0000000007,-442127.3902531092
22N,-51,4,500000.0000000007,442127.3902531092
22P,-51,12,500000.0000000007,1326553.6358056443
22Q,-51,20,500000.00000000064,2211481.307669964
22R,-51,28,500000.00000000064,3097202.370688265
22S,-51,36,500000.0000000006,3983948.4533356656
22T,-51,44,500000.0000000005,4871872.840767047
22U,-51,52,500000.00000000047,5761038.212590415
22V,-51,60,500000.00000000035,6651411.190362714
22W,-51,68,500000.0000000003,7542864.29720695
22X,-51,76,500000.0000000002,8435185.36883611
23C,-45,-76,500000.0,-8435185.36883611
23D,-45,-68,500000.0,-7542864.29720695
23E,-45,-60,500000.0,-6651411.190362714
23F,-45,-52,500000.0,-5761038.212590415
23G,-45,-44,500000.0,-4871872.840767047
23H,-45,-36,500000.0,-3983948.4533356656
23J,-45,-28,500000.0,-3097202.370688265
23K,-45,-20,500000.0,-2211481.307669964
23L,-45,-12,500000.0,-1326553.6358056443
23M,-45,-4,500000.0,-442127.3902531092
23N,-45,4,500000.0,442127.3902531092
23P,-45,12,500000.0,1326553.6358056443
23Q,-45,20,500000.0,2211481.307669964
23R,-45,28,500000.0,3097202.370688265
23S,-45,36,500000.0,3983948.4533356656
23T,-45,44,500000.0,4871872.840767047
23U,-45,52,500000.0,5761038.212590415
23V,-45,60,500000.0,6651411.190362714
23W,-45,68,500000.0,7542864.29720695
23X,-45,76,500000.0,8435185.36883611
24C,-39,-76,499999.9999999998,-8435185.36883611
24D,-39,-68,499999.9999999997,-7542864.29720695
24E,-39,-60,499999.99999999965,-6651411.190362714
24F,-39,-52,499999.99999999953,-5761038.212590415
24G,-39,-44,499999.9999999995,-4871872.840767047
24H,-39,-36,499999.9999999994,-3983948.4533356656
24J,-39,-28,499999.99999999936,-3097202.370688265
24K,-39,-20,499999.99999999936,-2211481.307669964
24L,-39,-12,499999.9999999993,-1326553.6358056443
24M,-39,-4,499999.9999999993,-442127.3902531092
24N,-39,4,499999.9999999993,442127.3902531092
24P,-39,12,499999.9999999993,1326553.6358056443
24Q,-39,20,499999.99999999936,2211481.307669964
24R,-39,28,499999.99999999936,3097202.370688265
24S,-39,36,499999.9999999994,3983948.4533356656
24T,-39,44,499999.9999999995,4871872.840767047
24U,-39,52,499999.99999999953,5761038.212590415
24V,-39,60,499999.99999999965,6651411.190362714
24W,-39,68,499999.9999999997,7542864.29720695
24X,-39,76,499999.9999999998,8435185.36883611
25C,-33,-76,500000.0000000002,-8435185.36883611
25D,-33,-68,500000.0000000003,-7542864.29720695
25E,-33,-60,500000.00000000035,-6651411.190362714
25F,-33,-52,500000.00000000047,-5761038.212590415
25G,-33,-44,500000.0000000005,-4871872.840767047
25H,-33,-36,500000.0000000006,-3983948.4533356656
25J,-33,-28,500000.00000000064,-3097202.370688265
25K,-33,-20,500000.00000000064,-2211481.307669964
25L,-33,-12,500000.0000000007,-1326553.6358056443
25M,-33,-4,500000.0000000007,-442127.3902531092
25N,-33,4,500000.0000000007,442127.3902531092
25P,-33,12,500000.0000000007,1326553.6358056443
25Q,-33,20,500000.00000000064,2211481.307669964
25R,-33,28,500000.00000000064,3097202.370688265
25S,-33,36,500000.0000000006,3983948.4533356656
25T,-33,44,500000.0000000005,4871872.840767047
25U,-33,52,500000.00000000047,5761038.212590415
25V,-33,60,500000.00000000035,6651411.190362714
25W,-33,68,500000.0000000003,7542864.29720695
25X,-33,76,500000.0000000002,8435185.36883611
26C,-27,-76,500000.0,-8435185.36883611
26D,-27,-68,500000.0,-7542864.29720695
26E,-27,-60,500000.0,-6651411.190362714
26F,-27,-52,500000.0,-5761038.212590415
26G,-27,-44,500000.0,-4871872.840767047
26H,-27,-36,500000.0,-3983948.4533356656
26J,-27,-28,500000.0,-3097202.370688265
26K,-27,-20,500000.0,-2211481.307669964
26L,-27,-12,500000.0,-1326553.6358056443
26M,-27,-4,500000.0,-442127.3902531092
26N,-27,4,500000.0,442127.3902531092
26P,-27,12,500000.0,1326553.6358056443
26Q,-27,20,500000.0,2211481.307669964
26R,-27,28,500000.0,3097202.370688265
26S,-27,36,500000.0,3983948.4533356656
26T,-27,44,500000.0,4871872.840767047
26U,-27,52,500000.0,5761038.212590415
26V,-27,60,500000.0,6651411.190362714
26W,-27,68,500000.0,7542864.29720695
26X,-27,76,500000.0,8435185.36883611
27C,-21,-76,499999.99999999977,-8435185.36883611
27D,-21,-68,499999.9999999996,-7542864.29720695
27E,-21,-60,499999.9999999995,-6651411.190362714
27F,-21,-52,499999.99999999936,-5761038.212590415
27G,-21,-44,499999.99999999924,-4871872.840767047
27H,-21,-36,499999.9999999991,-3983948.4533356656
27J,-21,-28,499999.99999999907,-3097202.370688265
27K,-21,-20,499999.999999999,-2211481.307669964
27L,-21,-12,499999.99999999895,-1326553.6358056443
27M,-21,-4,499999.99999999895,-442127.3902531092
27N,-21,4,499999.99999999895,442127.3902531092
27P,-21,12,499999.99999999895,1326553.6358056443
27Q,-21,20,499999.999999999,2211481.307669964
27R,-21,28,499999.99999999907,3097202.370688265
27S,-21,36,499999.9999999991,3983948.4533356656
27T,-21,44,499999.99999999924,4871872.840767047
27U,-21,52,499999.99999999936,5761038.212590415
27V,-21,60,499999.9999999995,6651411.190362714
27W,-21,68,499999.9999999996,7542864.29720695
27X,-21,76,499999.99999999977,8435185.36883611
28C,-15,-76,499999.9999999996,-8435185.36883611
28D,-15,-68,499999.99999999936,-7542864.29720695
28E,-15,-60,499999.9999999991,-6651411.190362714
28F,-15,-52,499999.9999999989,-5761038.212590415
28G,-15,-44,499999.9999999987,-4871872.840767047
28H,-15,-36,499999.99999999854,-3983948.4533356656
28J,-15,-28,499999.9999999984,-3097202.370688265
28K,-15,-20,499999.9999999983,-2211481.307669964
28L,-15,-12,499999.99999999825,-1326553.6358056443
28M,-15,-4,499999.99999999825,-442127.3902531092
28N,-15,4,499999.99999999825,442127.3902531092
28P,-15,12,499999.99999999825,1326553.6358056443
28Q,-15,20,499999.9999999983,2211481.307669964
28R,-15,28,499999.9999999984,3097202.370688265
28S,-15,36,499999.99999999854,3983948.4533356656
28T,-15,44,499999.9999999987,4871872.840767047
28U,-15,52,499999.9999999989,5761038.212590415
28V,-15,60,499999.9999999991,6651411.190362714
28W,-15,68,499999.99999999936,7542864.29720695
28X,-15,76,499999.9999999996,8435185.36883611
29C,-9,-76,500000.0,-8435185.36883611
29D,-9,-68,500000.0,-7542864.29720695
29E,-9,-60,500000.0,-6651411.190362714
29F,-9,-52,500000.0,-5761038.212590415
29G,-9,-44,500000.0,-4871872.840767047
29H,-9,-36,500000.0,-3983948.4533356656
29J,-9,-28,500000.0,-3097202.370688265
29K,-9,-20,500000.0,-2211481.307669964
29L,-9,-12,500000.0,-1326553.6358056443
29M,-9,-4,500000.0,-442127.3902531092
29N,-9,4,500000.0,442127.3902531092
29P,-9,12,500000.0,1326553.6358056443
29Q,-9,20,500000.0,2211481.307669964
29R,-9,28,500000.0,3097202.370688265
29S,-9,36,500000.0,3983948.4533356656
29T,-9,44,500000.0,4871872.840767047
29U,-9,52,500000.0,5761038.212590415
29V,-9,60,500000.0,6651411.190362714
29W,-9,68,500000.0,7542864.29720695
29X,-9,76,500000.0,8435185.36883611
30C,-3,-76,499999.99999999977,-8435185.36883611
30D,-3,-68,499999.99999999965,-7542864.29720695
30E,-3,-60,499999.99999999953,-6651411.190362714
30F,-3,-52,499999.9999999994,-5761038.212590415
30G,-3,-44,499999.9999999993,-4871872.840767047
30H,-3,-36,499999.9999999992,-3983948.4533356656
30J,-3,-28,499999.9999999991,-3097202.370688265
30K,-3,-20,499999.99999999907,-2211481.307669964
30L,-3,-12,499999.99999999907,-1326553.6358056443
30M,-3,-4,499999.999999999,-442127.3902531092
30N,-3,4,499999.999999999,442127.3902531092
30P,-3,12,499999.99999999907,1326553.6358056443
30Q,-3,20,499999.99999999907,2211481.307669964
30R,-3,28,499999.9999999991,3097202.370688265
30S,-3,36,499999.9999999992,3983948.4533356656
