input|output,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
28,128032.65207627817,26107.30293777492,7594.700282660442,5373.629949107804,5694.174789898921,55418.99180517769,54858.92945667537,64113.25691453827,22883.744436714325,42650.670407861,5536.783504133073,141404.11613056966,21126.780702172022,20651.933706074607,28212.06422385009,99311.91741542613,32916.219120561356,49416.42721271844,45962.643215377175,10113.426640589067,13232.578415512542,0.0,13755.391857949213,1513.307088991506,2454.5264851245806,25209.00764539157,72332.67862429902,22982.53836674276,34886.22826951383,298943.36483199656,18682.322702167825,308587.84741757205,3389.8367597526512,83888.47920523913,14327.12032024371,6048.669137223328,12247.215374270321,40255.592934180466,177096.69627870634,139881.53354306566,157664.3418632387,816797.7650850824
29,441832.41230829933,393471.3926460308,203069.2082041163,51263.88594421825,444322.60730507824,622607.9200103503,494681.46897557774,788778.0073216058,369461.2448499778,279163.8463764569,245208.86065770188,1554697.0326428744,529035.1629578717,971238.0566343324,1339446.268520318,1618910.9594438025,1066913.8196840966,1162312.827606073,847834.7356893105,183137.1532479239,266127.8588519538,0.0,351449.52054182807,55573.355385733055,130548.06077074031,11159441.451602826,1201671.0672393679,147167.20666853833,1086383.34085498,3664547.0628686687,576694.7189255671,3210903.3411391517,417553.071626711,620543.6753739674,98171.85828380962,83185.51581686038,345559.0368851877,473035.74995441746,895568.7732271377,318115.57615888823,665870.1430194295,3059391.0803566915
30,7442913.744807592,1059165.5917318373,424698.38768985146,383807.755532692,469845.30363174883,7223278.172832826,3785513.574595624,3667496.447565724,2013017.8602799112,3875367.5558174257,1815807.1176287634,8175694.103610752,2731109.532085008,6108155.991330276,2034488.3606548505,4663867.78177564,3654947.988201141,2959638.4269205914,5196262.932662119,627649.9562319559,1221874.8261052687,0.0,3067739.551740401,218757.782589836,126894.67601802066,12406348.023389157,2588971.0368569894,226636.2568474969,1783807.31500217,3575638.0020792303,3859638.096492224,562019.3025920124,397599.62679034687,1810926.253117348,26506.722604350645,191441.921656638,389355.4551970901,1763894.0985129357,1320505.5086551113,1369914.1719835638,687444.0597022623,1687514.4066559349
31,515055.974705563,378110.2767094775,124756.84897635263,125348.25658560757,209304.17161459796,527896.3727079292,713745.2637634737,358812.0856699439,239071.70233041068,702372.3240357642,106178.19289347988,1105077.2259812246,546174.0932304616,359643.6976278366,516887.68059536,1304869.9219444257,326304.615544437,785800.2924541174,360940.33826966345,125770.54291971578,136226.35076084922,0.0,192048.7867966705,74996.34768389151,32237.734158313997,1630886.1990907192,1394681.4162305752,42812.29113990474,374051.2664963633,4799346.481780061,714613.5861426289,2274327.266124988,1057734.8656274702,1055697.1456925187,810975.023495655,169595.86131568917,819526.1151708693,659872.7458973915,1365339.4025109187,318150.2035470135,367986.8654393755,5998314.861234218
32,4513873.139359758,587231.973474227,595826.0999444674,197771.9775973211,231951.60069906228,1146338.9865726102,998538.8081364199,561730.1856762101,441373.5969249533,909275.6115318536,529029.0275167496,2447272.293284602,1783717.8153501072,1434336.1298108432,447941.28709021135,1852058.5352125578,774187.615380072,719074.5723528679,1701491.862970634,95318.38106894898,235250.8257651991,0.0,2157415.905367794,29007.9322624668,117450.84159469264,2350743.0240026657,7126084.479084338,125371.58508204226,453518.07895202254,9838518.447313521,1389835.4143701426,4985406.101123938,5696013.855535736,1439586.2035003488,138322.8714261415,39597.38132571833,867960.3306578491,958631.7650076844,212140.16013331804,97880.46435217,138600.9015781725,2711908.1675001294
33,88543.87420875573,30585.70049886676,8314.423935015457,5271.453303645718,13022.778973653338,150958.81286236318,125393.50746969422,246315.76675544115,131624.96175424935,181191.25509277917,25219.034949923658,352154.4516789941,49076.214912666874,43694.58611367919,124276.18034153729,177966.33627548936,94773.7346811122,154813.8293916256,269942.81332994596,157899.81575128456,56106.27313447543,0.0,18050.7105007891,4023.7348940817997,1005.2280724379749,44928.49148110344,245300.88277879605,38738.271953394134,523840.24802516063,3311479.07069133,505564.32398434984,3075214.008946576,702374.7754653726,516858.41977041995,7814.342513195281,9327.930451399709,43441.34444904512,1224475.9753562969,316743.942032775,116249.9623872591,198689.0566307609,7368678.7726868065
34,664564.3303522666,307790.4227534575,314462.27957752947,78939.62757160427,151576.3735490522,2586223.4551123227,589765.9053842467,1773120.677688129,493092.73863209033,636828.4746235906,327478.3920310537,2630025.601465376,624450.936012662,443420.8918965006,583528.2006686437,1299139.5423841104,1402922.028631198,1219417.1971521953,2122854.4719701726,168311.90589309193,227153.8928119553,0.0,177653.4983224202,21603.719249562164,30771.222031933954,3739879.4028066117,1377271.8074300026,36000.31305207429,463342.2123780486,5312030.678812166,1237905.6197346293,1679128.2183524198,2716574.0080898334,978191.35064445,65796.1947530537,107645.74478871688,285062.6979754785,375042.88349676353,410461.86678324646,160024.60761969528,281294.65487141866,593446.1653129857
35,1769.4180918780348,0.0,0.0,0.0,993.1040963616,0.0,423.9207119925522,0.0,25.731496824938304,0.0,0.0,36.19410107964207,0.0,890.5288706083123,41.23728827786884,16.478114909182253,329.4737638372771,12143.098227761457,18698.947883551245,1996.90100803958,987.1001703496003,0.0,383.1275411612818,75.11431549713569,81.17757003739149,0.0,17530.29159972947,0.0,23004.947868736635,0.0,46941.565895743406,19887.8009887183,30116.136971049382,20955.774737933847,562185.3727446854,570.0807334325319,6378.724989949438,35620.4998549008,100871.19719911228,2261.8672307816846,42179.68842285096,601953.4350661293
36,69591.6572836211,14063.935939767036,50695.780383204845,8467.52504289821,9868.125428294203,28815.05922834326,8418.29979249211,11902.10515105307,5430.09838491636,12619.810228781818,39729.17072871555,104424.51034738857,28065.92655198809,24270.996806957282,59554.125246278556,79665.89951050613,72429.18710441164,60393.25977583139,109639.21239079574,12841.098512160963,7305.2425744054735,0.0,16281.076500142546,682.0019381989542,909.2987522871599,21880.67647570859,6239.965028110833,11116.262003996559,165209.92098701454,50383.88227586373,491.96218199276655,9967.407964412538,3262.945861995098,17083.53975599052,68.28010291509297,112786.28538371673,53440.41980103077,1359.0346099831436,215240.8077500421,16484.70846959003,3824.133863137383,66743.39279524941
37,1599642.1398075877,394102.1990080859,278380.8430570753,142296.84462492116,64033.95545574115,196506.08359916406,93434.170772619,89654.15771993427,33471.49803825848,114973.74249999362,81030.52884109554,309751.35616699577,93619.97160835721,231999.3318499629,149439.68195365102,235873.3845942162,110098.22898588225,93399.82297577224,138953.33514406224,26435.6880049137,23038.53410917648,0.0,257032.83641759036,3836.6165684550465,35749.487721184465,2861167.4212689344,77197.25351050752,586.124317420345,40047.80777031319,549035.5044924703,11976.025157001459,57724.72936790548,100310.1320077559,7153.7492786703415,2247.2953855462165,39026.962394212045,902992.476572954,38509.43982476326,123743.08386524596,33000.809777323644,7177.295534009558,112561.22717936308
38,830467.2860148747,275289.3905987273,202687.7517894928,78212.9044307284,87843.69679044157,365660.7296977622,365820.639888363,236046.35395039397,87812.99371341226,269840.6710832268,366608.633445114,1041149.747326248,261895.44874351166,866353.5481032635,292644.1393363177,526991.4564230043,287956.4547378608,261079.6744857514,247932.9818060989,68573.72322236934,45088.77036067417,0.0,780750.097415821,64704.17291481828,88638.95444932103,303783.21387908334,584188.9047877823,19033.64767287038,374058.25714437733,3339394.5279173697,216397.89752099325,224087.4700856653,128895.88224687937,458735.3855143172,147884.79972973705,50328.702661117306,314826.43302246137,2152038.295709245,548967.7788474072,98341.6279550452,107276.52146647713,1054240.9057496658
39,209908.2794611918,130462.06635912551,34798.51107048994,34903.14835901492,30513.824050320138,74591.703387782,73669.63806658772,47081.321305918034,25559.62384301666,80698.88656246649,35104.75559428862,188743.58360799472,70836.51019056463,82499.93360791357,93899.3917077224,149117.23550841058,95451.69028281578,49017.073691542864,48287.46719973195,19061.536922090098,14279.37576808033,0.0,72017.59705708454,5520.571387806803,16242.97254370191,246216.60375677014,297345.6586740962,45883.38946182773,54370.1788579371,360730.43673960224,139994.11567690287,371297.43622523604,60331.29918693305,91931.58760041722,12172.555166827875,24694.128088888152,58524.430091763876,70016.77816029095,179498.85209031936,108927.33835267555,42220.08360082396,593745.567395305
40,114122.33090249787,129020.72039118521,9742.218226916622,65844.88853522931,10346.873542459121,213294.63146972313,60487.73629583699,183391.09388571457,31042.44996281867,65436.24584430851,32930.13790252655,145934.7805038664,45412.17222635228,190040.18214898388,50373.81234260758,160844.63288699312,133208.79972850956,12356.597743317208,53696.60016760445,9461.448519107285,4290.961985636053,0.0,106279.29288973035,7762.800373731661,1325.918975507467,107573.74301016392,204450.90036038283,398.95255109564783,9713.153414611215,25449.515543408463,18376.177738484246,218142.9955811577,4519.417715597876,8476.983096178075,582.6354456752812,71362.04004708,82992.69311358177,33421.69744036866,216306.98246714863,103432.90964799149,61819.4781823222,200002.67337442862
41,44857.74569551712,42872.047025971086,31896.047009679573,44154.99165424585,61172.85662032346,177865.53995289703,106382.40804354743,138048.24953365797,77669.44860059186,116484.1388280968,38929.01238385821,368976.9319758041,213752.34651999368,111732.64680781159,77009.55072539905,239147.1533952637,89545.99759996246,112252.51420182746,125683.37884096413,50756.80264493076,55884.348356623275,0.0,112989.33586995416,37329.62319363564,20055.013564377765,153654.34417000174,58679.4114846809,81442.48196560978,368318.0028214041,194122.36375916452,72832.74418595349,310925.16040308744,89273.94325666156,448914.5176652046,16819.43275813324,40533.06905194401,163672.39861736295,186080.56343747332,565968.378369426,151137.00894276757,695711.1763882864,590687.9155049688
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
